lr-AdamW,created_at,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
,2023-04-24 13:45:31.945531,,,,,14.0,0.15657319128513336,0.007443061098456383,0.15657319128513336,0.20138774812221527,0.0009217076585628092,0.20138774812221527,,,
,2023-04-24 13:45:32.000721,,,,,14.0,,,,,,,0.13680727779865265,0.002537301043048501,0.13680727779865265
0.02,2023-04-24 13:45:58.094434,,,,,,,,,,,,,,
,2023-04-24 13:45:59.169416,0.24279844760894775,0.002584772650152445,0.24279844760894775,2649.0,15.0,,,,,,,,,
0.02,2023-04-24 13:46:52.258030,,,,,,,,,,,,,,
,2023-04-24 13:46:53.343184,0.05911192297935486,0.00021244755771476775,0.05911192297935486,2699.0,15.0,,,,,,,,,
0.02,2023-04-24 13:47:46.254220,,,,,,,,,,,,,,
,2023-04-24 13:47:47.320459,0.0938480943441391,0.00031705136643722653,0.0938480943441391,2749.0,15.0,,,,,,,,,
0.02,2023-04-24 13:48:40.231270,,,,,,,,,,,,,,
,2023-04-24 13:48:41.303395,0.10289239138364792,0.0003495118871796876,0.10289239138364792,2799.0,15.0,,,,,,,,,
,2023-04-24 13:48:44.123872,,,,,15.0,0.06512344628572464,0.0002466921869199723,0.06512344628572464,0.15437081456184387,0.0007122040260583162,0.15437081456184387,,,
,2023-04-24 13:48:44.232707,,,,,15.0,,,,,,,0.138638436794281,0.003097377484664321,0.138638436794281
0.02,2023-04-24 13:49:37.422267,,,,,,,,,,,,,,
,2023-04-24 13:49:38.497493,0.11959372460842133,0.0009023619350045919,0.11959372460842133,2849.0,16.0,,,,,,,,,
0.02,2023-04-24 13:50:31.443785,,,,,,,,,,,,,,
,2023-04-24 13:50:32.516302,0.17003709077835083,0.0012962488690391183,0.17003709077835083,2899.0,16.0,,,,,,,,,
0.02,2023-04-24 13:51:25.592248,,,,,,,,,,,,,,
,2023-04-24 13:51:26.668284,0.1680735945701599,0.0014546768506988883,0.1680735945701599,2949.0,16.0,,,,,,,,,
,2023-04-24 13:51:56.519269,,,,,16.0,0.17044734954833984,0.002612372860312462,0.17044734954833984,0.08224301040172577,0.00028513948200270534,0.08224301040172577,,,
,2023-04-24 13:51:56.562472,,,,,16.0,,,,,,,0.14405840635299683,0.0022907389793545008,0.14405840635299683
0.02,2023-04-24 13:52:22.872556,,,,,,,,,,,,,,
,2023-04-24 13:52:24.759978,0.11113648861646652,0.00041750643867999315,0.11113648861646652,2999.0,17.0,,,,,,,,,
0.02,2023-04-24 13:55:55.333223,,,,,,,,,,,,,,
,2023-04-24 13:55:56.411137,0.06580504775047302,0.00022508695838041604,0.06580504775047302,3049.0,17.0,,,,,,,,,
0.02,2023-04-24 13:56:49.556671,,,,,,,,,,,,,,
,2023-04-24 13:56:50.636601,0.14930030703544617,0.0008297786116600037,0.14930030703544617,3099.0,17.0,,,,,,,,,
0.02,2023-04-24 13:57:43.765514,,,,,,,,,,,,,,
,2023-04-24 13:57:44.841567,0.027479244396090508,0.0001069147911039181,0.027479244396090508,3149.0,17.0,,,,,,,,,
,2023-04-24 13:57:47.604130,,,,,17.0,0.28226062655448914,0.008562078699469566,0.28226062655448914,0.1602616161108017,0.0007894332520663738,0.1602616161108017,,,
,2023-04-24 13:57:47.677017,,,,,17.0,,,,,,,0.14553464949131012,0.0023196081165224314,0.14553464949131012
0.02,2023-04-24 13:58:40.868398,,,,,,,,,,,,,,
,2023-04-24 13:58:41.938900,0.04303611442446709,0.0001544455299153924,0.04303611442446709,3199.0,18.0,,,,,,,,,
0.02,2023-04-24 13:59:35.011876,,,,,,,,,,,,,,
,2023-04-24 13:59:36.094558,0.17104780673980713,0.0011291097616776824,0.17104780673980713,3249.0,18.0,,,,,,,,,
0.02,2023-04-24 14:00:29.212468,,,,,,,,,,,,,,
,2023-04-24 14:00:30.292750,0.0961485356092453,0.0005411464953795075,0.0961485356092453,3299.0,18.0,,,,,,,,,
,2023-04-24 14:01:00.206335,,,,,18.0,0.16093337535858154,0.0009397233952768147,0.16093337535858154,0.12738531827926636,0.0013255564263090491,0.12738531827926636,,,
,2023-04-24 14:01:00.258739,,,,,18.0,,,,,,,0.14038227498531342,0.0020763666834682226,0.14038227498531342
0.02,2023-04-24 14:01:26.602710,,,,,,,,,,,,,,
,2023-04-24 14:01:27.681011,0.06737910211086273,0.00024277462216559798,0.06737910211086273,3349.0,19.0,,,,,,,,,
0.02,2023-04-24 14:02:20.775720,,,,,,,,,,,,,,
,2023-04-24 14:02:21.853632,0.05559809133410454,0.0001901818031910807,0.05559809133410454,3399.0,19.0,,,,,,,,,
0.02,2023-04-24 14:03:14.899261,,,,,,,,,,,,,,
,2023-04-24 14:03:15.977242,0.22674080729484558,0.003521496895700693,0.22674080729484558,3449.0,19.0,,,,,,,,,
0.02,2023-04-24 14:04:08.884589,,,,,,,,,,,,,,
,2023-04-24 14:04:10.747039,0.08746165037155151,0.00037887459620833397,0.08746165037155151,3499.0,19.0,,,,,,,,,
,2023-04-24 14:04:13.473949,,,,,19.0,0.16164134442806244,0.0007796655991114676,0.16164134442806244,0.12370506674051285,0.0009719874942675233,0.12370506674051285,,,
,2023-04-24 14:04:13.571312,,,,,19.0,,,,,,,0.1449720561504364,0.004418001510202885,0.1449720561504364
0.02,2023-04-24 14:07:43.902748,,,,,,,,,,,,,,
,2023-04-24 14:07:44.977511,0.1334599256515503,0.0005777277983725071,0.1334599256515503,3549.0,20.0,,,,,,,,,
0.02,2023-04-24 14:08:37.821253,,,,,,,,,,,,,,
,2023-04-24 14:08:38.888607,0.163286030292511,0.0007256364915519953,0.163286030292511,3599.0,20.0,,,,,,,,,
0.02,2023-04-24 14:09:31.731143,,,,,,,,,,,,,,
,2023-04-24 14:09:32.804350,0.1970972716808319,0.0011241589672863483,0.1970972716808319,3649.0,20.0,,,,,,,,,
,2023-04-24 14:10:02.680770,,,,,20.0,0.0710410475730896,0.00027925416361540556,0.0710410475730896,0.10480397194623947,0.00042331888107582927,0.10480397194623947,,,
,2023-04-24 14:10:02.732689,,,,,20.0,,,,,,,0.13715417683124542,0.004041059408336878,0.13715417683124542
0.02,2023-04-24 14:10:28.957839,,,,,,,,,,,,,,
,2023-04-24 14:10:30.026885,0.17712996900081635,0.0007756628328934312,0.17712996900081635,3699.0,21.0,,,,,,,,,
0.02,2023-04-24 14:11:22.921510,,,,,,,,,,,,,,
,2023-04-24 14:11:24.002358,0.10904306918382645,0.0004397628363221884,0.10904306918382645,3749.0,21.0,,,,,,,,,
0.02,2023-04-24 14:12:16.949948,,,,,,,,,,,,,,
,2023-04-24 14:12:18.025281,0.13886581361293793,0.000771459424868226,0.13886581361293793,3799.0,21.0,,,,,,,,,
0.02,2023-04-24 14:13:11.174886,,,,,,,,,,,,,,
,2023-04-24 14:13:12.259967,0.2768080234527588,0.0018956714775413275,0.2768080234527588,3849.0,21.0,,,,,,,,,
,2023-04-24 14:13:14.997224,,,,,21.0,0.2012214958667755,0.0010500169591978192,0.2012214958667755,0.14070342481136322,0.0005539169651456177,0.14070342481136322,,,
,2023-04-24 14:13:15.059988,,,,,21.0,,,,,,,0.1413428783416748,0.004132573492825031,0.1413428783416748
0.02,2023-04-24 14:14:08.403575,,,,,,,,,,,,,,
,2023-04-24 14:14:09.476577,0.21867305040359497,0.002920737722888589,0.21867305040359497,3899.0,22.0,,,,,,,,,
0.02,2023-04-24 14:15:02.555326,,,,,,,,,,,,,,
,2023-04-24 14:15:03.634492,0.21559986472129822,0.0013973626773804426,0.21559986472129822,3949.0,22.0,,,,,,,,,
0.02,2023-04-24 14:15:56.726291,,,,,,,,,,,,,,
,2023-04-24 14:15:58.664667,0.09774896502494812,0.0004861502966377884,0.09774896502494812,3999.0,22.0,,,,,,,,,
,2023-04-24 14:19:06.271622,,,,,22.0,0.13224361836910248,0.0005096212262287736,0.13224361836910248,0.20263110101222992,0.003245933912694454,0.20263110101222992,,,
,2023-04-24 14:19:06.314419,,,,,22.0,,,,,,,0.13974399864673615,0.0032818533945828676,0.13974399864673615
0.02,2023-04-24 14:19:32.678441,,,,,,,,,,,,,,
,2023-04-24 14:19:33.760606,0.051364220678806305,0.00021483292221091688,0.051364220678806305,4049.0,23.0,,,,,,,,,
0.02,2023-04-24 14:20:26.840299,,,,,,,,,,,,,,
,2023-04-24 14:20:27.914386,0.2201855182647705,0.0012030252255499363,0.2201855182647705,4099.0,23.0,,,,,,,,,
0.02,2023-04-24 14:21:20.865978,,,,,,,,,,,,,,
,2023-04-24 14:21:21.942530,0.22358962893486023,0.0037481230683624744,0.22358962893486023,4149.0,23.0,,,,,,,,,
0.02,2023-04-24 14:22:14.849015,,,,,,,,,,,,,,
,2023-04-24 14:22:15.914498,0.25870591402053833,0.0043869782239198685,0.25870591402053833,4199.0,23.0,,,,,,,,,
,2023-04-24 14:22:18.710373,,,,,23.0,0.026172365993261337,9.873335511656478e-05,0.026172365993261337,0.17529547214508057,0.001363103394396603,0.17529547214508057,,,
,2023-04-24 14:22:18.821445,,,,,23.0,,,,,,,0.1369711011648178,0.0029409462586045265,0.1369711011648178
0.02,2023-04-24 14:23:11.847625,,,,,,,,,,,,,,
,2023-04-24 14:23:12.915377,0.20578092336654663,0.0017148269107565284,0.20578092336654663,4249.0,24.0,,,,,,,,,
0.02,2023-04-24 14:24:05.659921,,,,,,,,,,,,,,
,2023-04-24 14:24:06.734246,0.10278569906949997,0.00036732963053509593,0.10278569906949997,4299.0,24.0,,,,,,,,,
0.02,2023-04-24 14:24:59.492626,,,,,,,,,,,,,,
,2023-04-24 14:25:00.563042,0.035148389637470245,0.00013119008508510888,0.035148389637470245,4349.0,24.0,,,,,,,,,
,2023-04-24 14:25:30.209835,,,,,24.0,0.11876985430717468,0.0007932428852654994,0.11876985430717468,0.12198523432016373,0.0008260799222625792,0.12198523432016373,,,
,2023-04-24 14:25:30.272846,,,,,24.0,,,,,,,0.1410123109817505,0.0018531878013163805,0.1410123109817505
0.02,2023-04-24 14:25:56.376130,,,,,,,,,,,,,,
,2023-04-24 14:25:57.447851,0.061937905848026276,0.00023080695245880634,0.061937905848026276,4399.0,25.0,,,,,,,,,
0.02,2023-04-24 14:26:50.441981,,,,,,,,,,,,,,
,2023-04-24 14:26:51.510590,0.021562231704592705,8.474255446344614e-05,0.021562231704592705,4449.0,25.0,,,,,,,,,
0.02,2023-04-24 14:27:44.189138,,,,,,,,,,,,,,
,2023-04-24 14:27:46.076597,0.21926391124725342,0.0014692679978907108,0.21926391124725342,4499.0,25.0,,,,,,,,,
